CellID,Person_field,location,site,transect,transect_note,Type,plotID,plot_note,gpsID,GPStype1,Lat1,Long1,FieldDescription,Vegetation,LGR_description,Date_True,Start_time,End_time,Duration_(min),CH4_trend,CO2_trend,-10cm_SoilTemp_C,AirTemp_C,WaterDepth_cm,CHAMBER,Sample ID,CH4  μmol m^-2 s^-1,±,r value,mg CH4 m-2 d-1
1,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,1,,318,318,64.59426046,-165.6718979,Lots of springs in this area,"Sphagnum, blueberry, carex, lichen",2021_micro,8/3/25,17:38:18,17:40:18,0:02:00,↑,↑,"Peter collected soil temp & VWC at all sites (except K66 control on 8/7/25, which was Mike Loranty & June",18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_17h38m18s_WC_T1_newBeaverDam_CH4,0.0037,0.000184998643,0.9606666514,5.090029647
2,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,2,,319,319,64.59416072,-165.672127,,,2021_micro,8/3/25,17:49:01,17:51:01,0:02:00,,,Mike Loranty is entering all auxilary field data and mapping landscape units BEFORE Katey gives him the CH4 data.,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_17h49m01s_WC_T1_newBeaverDam_CH4,0.0027,0.0001523814803,0.9333208718,3.799672664
3,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,2,didn't lift,319,319,64.59416072,-165.672127,,,2021_micro,8/3/25,17:51:01,17:52:22,0:01:21,"↓, good one",,,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_17h51m01s_WC_T1_newBeaverDam_CH4,0.0007,0.000041756578,0.9320993532,1.023282621
4,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,3,,320,320,64.59406097,-165.6723213,,"lichen, carex, blueberry, sphagnum, betula nana",2021_micro,8/3/25,17:57:25,17:59:25,0:02:00,↑,,,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_17h57m25s_WC_T1_newBeaverDam_CH4,0.0008,0.0000463258205,0.9380541597,1.136036042
5,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,4,,321,321,64.59378211,-165.6728843,,,2021_micro,8/3/25,18:02:07,18:04:07,0:02:00,↑,↑,,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_18h02m07s_WC_T1_newBeaverDam_CH4,0.0075,0.0003969219699,0.9383299343,10.37161758
6,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,5,,322,322,64.59348162,-165.6734254,,carex,2021_micro,8/3/25,18:09:21,18:11:21,0:02:00,,,,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",,0.0000,#DIV/0!,0.6772061408,0
7,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,6,,323,323,64.59335086,-165.6736455,,"carex, moss",2021_micro,8/3/25,18:15:20,18:18:20,0:03:00,↑,↕,,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_18h15m20s_WC_T1_newBeaverDam_CH4,0.0048,0.0002478443741,0.9602837509,6.65405247
8,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,7,,324,324,64.59334524,-165.6736145,,wet sphagnum,2021_micro,8/3/25,18:19:20,18:21:20,0:02:00,↑,↑,,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_18h19m20s_WC_T1_newBeaverDam_CH4,0.3604,0.01631144516,0.9902544866,499.4542666
9,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,8,,325,325,64.59327308,-165.6736614,,"carex, flooded impetrum",2021_micro,8/3/25,18:26:11,18:27:00,0:00:49,"↑, wind",↑,,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_18h26m11s_WC_T1_newBeaverDam_CH4,0.1715,0.01219793303,0.8777417266,237.6171395
10,"Katey, Peter, Jorgen, Anders",Nome,WC,1,WC_T1_newBeaverDam,terrestrial,8,8 redo,325,325,64.59327308,-165.6736614,,flooding tundra,2021_micro,8/3/25,18:27:55,18:30:20,0:02:25,↑,↑,,18,,"mini_KateyFAI_first time colvered with AL foil (by Kaj and Jackie), so CO2 is dark respiration",2025_08_03_18h27m55s_WC_T1_newBeaverDam_CH4,0.0247,0.001224558606,0.9604857993,34.20273253
